num_order_lists,avg,min,max,std,moe
1,8743.193333333333,8743.193333333333,8743.193333333333,0.0,0.0
2,8532.75,8426.906666666666,8638.593333333334,149.68519999999998,207.45296666666667
3,8675.77777777778,8556.106666666667,8795.14,124.96099999999998,141.40673333333334
4,8685.101666666667,8526.773333333333,8848.413333333334,143.5162666666667,140.64579999999998
5,8793.258666666667,8589.62,8982.313333333334,158.70399999999998,139.11026666666666
6,8720.554444444444,8523.266666666666,8919.253333333334,149.08686666666665,119.29426666666666
7,8658.546666666667,8460.1,8860.08,142.36003333333338,105.46173333333333
8,8672.545833333334,8452.593333333334,8893.68,150.1122,104.02236666666667
9,8654.711851851851,8414.006666666666,8890.826666666666,157.29816666666665,102.76833333333333
10,8743.497333333335,8514.8,8961.053333333333,141.88679999999997,87.94216666666667
11,8677.699393939394,8414.5,8934.013333333334,158.61393333333334,93.73493333333333
12,8672.589444444446,8403.573333333334,8928.533333333333,158.35073333333332,89.59526666666667
13,8698.083076923076,8418.76,8969.84,164.9969,89.6934
14,8692.206666666667,8393.186666666666,9009.693333333333,176.9859,92.71086666666667
15,8721.08888888889,8459.813333333334,8990.68,152.13266666666667,76.98973333333333
16,8688.239583333334,8376.086666666666,8995.746666666666,173.60353333333333,85.06563333333332
17,8650.905098039217,8348.813333333334,8946.673333333334,165.03446666666665,78.45243333333333
18,8643.94111111111,8352.14,8932.513333333334,160.13363333333334,73.97806666666668
19,8701.254736842106,8358.246666666666,9016.926666666666,177.94183333333334,80.01233333333333
20,8690.692666666668,8391.186666666666,8986.446666666667,155.1587,68.00110000000001
21,8695.857142857143,8365.053333333333,8999.413333333334,164.39846666666668,70.31463333333333
22,8736.31696969697,8402.433333333332,9070.86,170.13836666666668,71.09613333333333
23,8754.164637681159,8442.166666666666,9049.626666666667,156.7332,64.055
24,8726.988055555554,8396.56,9042.186666666666,164.03446666666667,65.62746666666666
1,14566.284,14566.284,14566.284,0.0,0.0
2,14512.14,14387.388,14636.892,176.42578,244.51366000000004
3,14508.917333333335,14306.976,14707.928,208.98368000000002,236.4872
