n,cst1,cst2,cst3,cst4,cst5,cst6,cst7,cst8,cst9,cst10,cst11,cst12,cst13,cst14,cst15,cst16,cst17,cst18,cst19,cst20,avg,min,max,std,moe
1,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
2,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
3,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
4,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
5,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
6,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
7,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
8,4210,4256,4398,4332,4140,4560,4104,4300,4230,4214,4418,4296,4324,4086,4002,3944,4260,3940,3992,4256,4213.1,3940,4560,165.02,72.32
